"pathway","Human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","Human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1059683",17,8,8,6,0,0,0,20,18,18,18,0,0,0
"R-HSA-109581",192,143,143,126,65,73,48,141,133,133,129,72,99,20
"R-HSA-109582",803,511,526,445,147,170,44,334,321,321,309,172,173,91
"R-HSA-109606",64,42,42,37,11,10,4,62,56,56,54,21,31,5
"R-HSA-109703",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-109704",58,29,30,28,10,7,3,6,6,6,6,4,4,3
"R-HSA-110056",13,4,4,4,2,2,2,4,3,3,3,3,3,3
"R-HSA-110312",19,12,11,10,9,11,9,5,5,5,5,5,5,5
"R-HSA-110313",48,33,32,27,21,25,19,28,28,28,28,28,28,27
"R-HSA-110314",30,26,25,23,20,21,17,6,6,6,6,6,6,6
"R-HSA-110320",24,14,13,12,11,13,9,8,8,8,8,8,8,8
"R-HSA-110328",42,24,25,13,4,5,5,21,16,16,13,5,7,6
"R-HSA-110329",51,24,25,13,4,5,5,20,15,15,12,5,7,6
"R-HSA-110330",39,20,21,11,3,3,4,10,8,8,8,2,3,3
"R-HSA-110331",45,20,21,11,3,3,4,9,8,8,8,2,3,3
"R-HSA-110357",10,6,6,5,2,4,2,8,8,8,8,8,8,2
"R-HSA-110362",15,7,8,8,5,5,2,10,10,10,10,9,9,8
"R-HSA-110373",32,22,23,21,17,18,14,19,19,19,19,18,18,14
"R-HSA-110381",7,4,4,4,1,3,0,6,6,6,6,2,6,0
"R-HSA-111367",10,8,8,4,8,8,2,2,2,2,2,2,2,2
"R-HSA-111446",5,3,3,1,1,0,0,2,1,1,1,1,0,0
"R-HSA-111447",19,12,12,11,3,3,1,5,4,4,4,2,2,1
"R-HSA-111448",6,4,4,4,1,1,0,5,4,4,4,2,2,0
"R-HSA-111452",2,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-111453",11,4,4,4,1,0,0,4,4,4,4,2,0,0
"R-HSA-111457",8,4,4,3,0,0,0,4,3,3,3,0,0,0
"R-HSA-111458",13,8,8,8,1,2,1,10,10,10,10,1,8,1
"R-HSA-111459",8,5,5,5,2,3,0,2,2,2,2,2,2,0
"R-HSA-111461",15,10,10,10,3,3,1,12,12,12,12,3,10,1
"R-HSA-111463",7,6,6,6,2,3,0,4,4,4,4,2,4,0
"R-HSA-111464",7,6,6,6,2,3,0,3,3,3,3,2,3,0
"R-HSA-111465",38,34,34,26,14,14,4,38,38,38,38,32,35,4
"R-HSA-111469",8,6,6,6,2,3,0,10,10,10,10,6,10,0
"R-HSA-111471",23,14,14,13,4,4,2,28,27,27,27,11,22,3
"R-HSA-111885",113,84,85,77,26,37,9,59,56,56,51,44,51,21
"R-HSA-111931",26,17,17,15,6,14,2,7,7,7,7,6,6,4
"R-HSA-111932",13,10,10,8,3,5,1,13,13,13,9,5,13,2
"R-HSA-111933",43,32,32,28,10,20,3,23,23,23,19,14,22,6
"R-HSA-111957",8,4,4,2,1,2,0,2,2,2,2,2,2,0
"R-HSA-111995",9,2,2,2,1,0,1,3,1,1,1,1,0,1
"R-HSA-111996",48,34,34,30,11,20,4,27,25,25,20,15,23,7
"R-HSA-111997",43,32,32,28,10,20,3,24,24,24,19,14,23,6
"R-HSA-112040",73,51,51,45,15,26,5,41,39,39,34,29,37,10
"R-HSA-112043",67,46,46,41,14,25,5,32,30,30,25,20,28,10
"R-HSA-112122",8,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112126",11,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112303",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112307",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112308",14,11,11,11,3,4,0,1,1,1,1,1,1,0
"R-HSA-112310",100,49,49,43,32,26,6,37,32,32,30,27,25,16
"R-HSA-112311",34,9,9,6,6,6,0,13,12,12,8,5,5,0
"R-HSA-112313",10,4,4,3,3,2,1,3,3,3,2,2,2,1
"R-HSA-112314",232,157,161,153,64,62,16,109,106,106,98,88,99,24
"R-HSA-112315",343,218,222,206,101,94,23,163,154,154,139,123,132,41
"R-HSA-112316",489,343,350,321,128,122,25,216,207,207,192,161,165,44
"R-HSA-112382",63,56,56,53,46,51,45,2,2,2,2,2,2,2
"R-HSA-112399",65,30,31,28,11,8,3,9,9,9,7,7,7,3
"R-HSA-112409",28,15,15,14,5,4,4,12,11,11,11,10,5,10
"R-HSA-112411",12,3,3,3,1,0,1,3,3,3,3,2,0,2
"R-HSA-112412",10,1,1,0,1,1,0,2,2,2,0,2,2,0
"R-HSA-113418",37,32,32,31,28,32,28,3,3,3,3,3,3,3
"R-HSA-113501",15,11,11,11,7,7,5,3,3,3,3,3,3,2
"R-HSA-113507",9,7,7,7,4,6,4,1,1,1,1,1,1,1
"R-HSA-113510",24,18,18,18,11,13,9,4,4,4,4,4,4,3
"R-HSA-114294",2,1,1,1,0,0,0,4,4,4,4,0,0,0
"R-HSA-114452",36,24,24,21,6,6,2,19,14,14,14,8,9,2
"R-HSA-114508",40,26,26,23,12,9,2,9,9,9,9,7,6,2
"R-HSA-114516",10,5,5,5,2,3,2,2,2,2,2,2,2,2
"R-HSA-114604",43,29,29,20,6,6,3,25,25,25,21,15,15,6
"R-HSA-114608",141,105,111,96,34,47,9,11,11,11,11,10,11,4
"R-HSA-1168372",91,66,66,58,43,50,39,15,14,15,14,8,11,8
"R-HSA-1169091",72,56,56,51,40,44,35,10,9,10,9,5,8,5
"R-HSA-1169092",11,2,2,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-1169408",83,53,53,45,34,37,25,16,16,16,14,13,14,6
"R-HSA-1169410",94,57,58,47,36,39,25,31,21,22,16,15,16,6
"R-HSA-1170546",18,11,11,9,4,3,2,14,14,14,14,5,3,3
"R-HSA-1181150",25,11,11,10,3,3,1,12,12,12,12,5,8,1
"R-HSA-1187000",31,15,25,10,4,2,0,9,8,9,4,4,2,0
"R-HSA-1221632",62,26,27,14,8,10,9,6,6,6,6,6,6,6
"R-HSA-1222387",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222449",17,1,1,1,0,1,0,10,3,3,3,0,3,0
"R-HSA-1222499",73,1,1,1,0,1,0,34,3,3,3,0,3,0
"R-HSA-1222538",38,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1222541",19,0,0,0,0,0,0,7,0,0,0,0,0,0
