"pathway","Human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","Human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1059683",17,8,8,7,0,0,0,20,18,18,18,0,0,0
"R-HSA-109581",192,143,144,135,65,73,44,142,133,134,133,70,101,17
"R-HSA-109582",803,510,523,434,151,177,41,338,323,324,310,169,167,88
"R-HSA-109606",64,41,41,39,11,13,3,63,56,57,56,21,32,4
"R-HSA-109703",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-109704",58,29,30,25,9,7,3,6,6,6,6,4,4,3
"R-HSA-110056",13,4,4,4,1,1,2,4,3,3,3,2,2,3
"R-HSA-110312",19,12,12,12,8,11,7,5,5,5,5,5,5,5
"R-HSA-110313",48,33,33,32,21,25,15,28,28,28,28,27,28,25
"R-HSA-110314",30,26,26,26,19,21,12,6,6,6,6,6,6,6
"R-HSA-110320",24,14,14,14,10,13,7,8,8,8,8,8,8,6
"R-HSA-110328",42,27,26,13,3,4,4,21,16,16,13,5,7,6
"R-HSA-110329",51,27,26,13,3,4,4,20,15,15,12,5,7,6
"R-HSA-110330",39,23,22,11,2,2,3,10,8,8,8,2,3,3
"R-HSA-110331",45,23,22,11,2,2,3,9,8,8,8,2,3,3
"R-HSA-110357",10,6,6,5,2,4,2,8,8,8,8,8,8,2
"R-HSA-110362",15,7,8,8,4,5,2,10,10,10,10,9,9,8
"R-HSA-110373",32,22,23,23,17,17,13,19,19,19,19,18,18,14
"R-HSA-110381",7,4,4,4,1,3,0,6,6,6,6,2,6,0
"R-HSA-111367",10,8,8,4,7,7,2,2,2,2,2,2,2,2
"R-HSA-111446",5,3,3,2,1,0,0,2,1,1,1,1,0,0
"R-HSA-111447",19,11,12,11,4,3,0,5,4,4,4,2,2,0
"R-HSA-111448",6,4,4,4,1,1,0,5,4,4,4,2,2,0
"R-HSA-111452",2,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-111453",11,3,4,4,0,0,0,5,4,5,5,0,0,0
"R-HSA-111457",8,4,4,3,1,0,0,4,3,3,3,2,0,0
"R-HSA-111458",13,8,8,8,1,4,1,10,10,10,10,1,9,1
"R-HSA-111459",8,5,5,5,1,4,0,2,2,2,2,1,2,0
"R-HSA-111461",15,10,10,10,2,6,1,12,12,12,12,2,11,1
"R-HSA-111463",7,6,6,6,1,4,0,4,4,4,4,1,4,0
"R-HSA-111464",7,6,6,6,1,4,0,3,3,3,3,1,3,0
"R-HSA-111465",38,34,34,28,14,17,4,38,38,38,38,30,37,4
"R-HSA-111469",8,6,6,6,1,4,0,10,10,10,10,3,10,0
"R-HSA-111471",23,14,14,13,4,7,2,28,27,27,27,9,23,3
"R-HSA-111885",113,85,86,78,25,36,9,59,56,56,57,49,54,19
"R-HSA-111931",26,17,17,17,7,12,3,7,7,7,7,6,6,4
"R-HSA-111932",13,10,10,9,4,5,1,13,13,13,13,11,13,1
"R-HSA-111933",43,32,32,30,11,18,4,23,23,23,23,20,22,5
"R-HSA-111957",8,4,4,3,2,2,0,2,2,2,2,2,2,0
"R-HSA-111995",9,2,2,2,1,1,1,3,1,1,1,1,1,1
"R-HSA-111996",48,34,34,32,12,19,5,27,25,25,25,22,24,6
"R-HSA-111997",43,32,32,30,11,18,4,24,24,24,24,21,23,5
"R-HSA-112040",73,51,51,46,16,25,7,41,39,39,39,36,38,9
"R-HSA-112043",67,46,46,42,16,24,7,32,30,30,30,27,29,9
"R-HSA-112122",8,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112126",11,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112303",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112307",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112308",14,11,11,10,5,3,0,1,1,1,1,1,1,0
"R-HSA-112310",100,49,49,44,29,28,5,37,32,32,31,26,27,6
"R-HSA-112311",35,9,9,7,7,6,0,16,15,15,14,8,7,0
"R-HSA-112313",10,4,4,3,2,3,1,3,3,3,2,2,2,1
"R-HSA-112314",232,168,171,163,66,73,17,110,108,108,108,102,103,25
"R-HSA-112315",344,229,232,217,102,106,23,167,159,159,156,139,140,32
"R-HSA-112316",490,354,359,330,128,138,26,221,213,213,210,176,181,40
"R-HSA-112382",60,55,55,51,44,50,37,2,2,2,2,2,2,2
"R-HSA-112399",65,30,31,25,10,8,4,9,9,9,7,7,7,5
"R-HSA-112409",28,15,15,14,3,4,4,12,11,11,11,9,9,10
"R-HSA-112411",12,3,3,3,1,1,1,3,3,3,3,2,2,2
"R-HSA-112412",10,1,1,0,1,1,1,2,2,2,0,2,2,2
"R-HSA-113418",34,32,32,31,27,32,28,3,3,3,3,3,3,3
"R-HSA-113501",15,10,11,11,7,7,5,3,3,3,3,3,3,2
"R-HSA-113507",9,7,7,7,3,6,4,1,1,1,1,1,1,1
"R-HSA-113510",24,17,18,18,10,13,9,4,4,4,4,4,4,3
"R-HSA-114294",2,1,1,1,1,0,0,4,4,4,4,4,0,0
"R-HSA-114452",36,23,23,22,7,6,1,19,14,14,14,8,9,1
"R-HSA-114508",40,26,26,22,12,10,1,9,9,9,9,7,6,1
"R-HSA-114516",10,5,5,5,2,2,2,2,2,2,2,2,2,2
"R-HSA-114604",43,29,29,21,8,8,3,25,25,25,21,18,17,6
"R-HSA-114608",141,106,110,101,40,51,12,11,10,11,11,10,9,5
"R-HSA-1168372",91,67,67,61,42,49,38,15,14,15,14,7,11,7
"R-HSA-1169091",72,57,57,53,38,43,36,10,9,10,9,5,8,5
"R-HSA-1169092",11,2,2,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-1169408",83,53,54,49,31,40,9,16,16,16,16,12,14,6
"R-HSA-1169410",94,57,59,51,32,42,9,31,21,22,18,13,16,6
"R-HSA-1170546",18,12,11,10,3,3,2,14,14,14,14,3,3,3
"R-HSA-1181150",25,11,11,10,4,4,2,12,12,12,12,8,8,2
"R-HSA-1187000",31,15,25,11,3,2,0,9,8,9,4,3,2,0
"R-HSA-1221632",62,29,28,16,7,7,8,6,6,6,6,6,6,6
"R-HSA-1222387",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222449",17,1,1,1,0,0,0,10,3,3,3,0,0,0
"R-HSA-1222499",73,1,1,1,0,0,0,34,3,3,3,0,0,0
"R-HSA-1222538",38,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1222541",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222556",82,32,33,25,18,17,15,45,10,10,5,3,2,2
"R-HSA-1226099",82,45,45,40,21,22,16,99,80,80,80,48,40,9
"R-HSA-1227986",68,29,31,26,12,16,3,46,46,46,45,37,38,14
"R-HSA-1227990",36,14,16,12,6,7,2,62,62,61,60,60,53,39
"R-HSA-1234158",15,5,6,5,1,1,0,7,6,6,6,4,4,0
"R-HSA-1234174",86,67,68,62,41,46,34,20,19,19,19,13,13,9
"R-HSA-1234176",72,60,60,55,40,45,34,12,12,12,12,9,9,9
"R-HSA-1236382",26,10,9,9,5,6,2,23,23,23,23,22,22,22
"R-HSA-1236394",82,34,37,34,11,12,1,52,29,30,30,10,18,2
"R-HSA-1236973",13,5,6,6,2,2,0,3,3,3,3,2,2,0
"R-HSA-1236974",173,71,73,66,44,50,36,10,10,10,10,9,9,7
"R-HSA-1236975",195,83,86,80,47,53,36,23,22,22,22,13,13,8
"R-HSA-1236977",82,7,7,8,1,1,0,4,4,4,4,1,1,0
"R-HSA-1236978",53,48,48,46,34,36,32,6,5,5,5,1,1,1
"R-HSA-1237044",24,12,12,10,1,2,0,8,8,8,8,1,3,0
"R-HSA-1237112",24,6,6,6,5,5,4,7,7,7,7,6,6,4
"R-HSA-1247673",16,8,8,7,0,2,0,6,6,6,6,0,2,0
"R-HSA-1250196",36,10,11,8,3,4,1,6,6,6,5,4,4,2
"R-HSA-1250342",15,6,8,6,1,1,0,2,2,2,2,2,2,0
"R-HSA-1250347",21,6,7,5,1,3,1,4,4,4,4,2,4,2
"R-HSA-1251932",6,2,2,2,2,1,0,2,2,2,2,2,1,0
"R-HSA-1251985",47,16,20,18,6,6,0,34,12,13,13,2,3,0
"R-HSA-1253288",11,5,5,5,1,3,0,5,4,4,4,2,3,0
"R-HSA-1257604",321,206,210,189,96,118,60,86,75,75,74,63,70,27
"R-HSA-1266695",31,19,20,17,4,5,0,26,22,22,22,6,8,0
"R-HSA-1266738",1274,682,713,583,292,320,175,568,464,472,450,347,359,117
"R-HSA-1268020",69,30,31,40,18,27,20,14,14,14,14,11,14,13
"R-HSA-1280215",1107,480,483,389,155,175,78,725,628,641,588,185,242,89
"R-HSA-1280218",1012,630,648,514,240,276,128,265,256,257,239,142,157,95
"R-HSA-1295596",19,8,8,7,1,5,1,11,10,10,10,1,8,1
"R-HSA-1296025",6,4,4,4,0,1,1,2,2,2,2,0,1,1
"R-HSA-1296041",31,28,29,28,8,8,1,3,3,3,3,3,3,3
"R-HSA-1296052",10,8,8,6,2,1,0,3,3,3,3,1,1,0
"R-HSA-1296053",5,4,4,4,2,1,0,1,1,1,1,1,1,0
"R-HSA-1296059",31,28,29,28,8,8,1,3,3,3,3,3,3,3
"R-HSA-1296061",6,4,4,3,0,1,0,3,3,3,3,0,3,0
"R-HSA-1296065",38,34,35,34,9,10,2,7,7,7,7,4,5,4
"R-HSA-1296067",4,3,3,3,0,0,0,1,1,1,1,0,0,0
"R-HSA-1296071",107,97,99,88,22,24,3,20,20,20,20,10,13,5
"R-HSA-1296072",44,40,41,34,6,9,0,1,1,1,1,1,1,0
"R-HSA-1296346",13,11,11,11,5,3,1,6,6,6,6,4,3,1
"R-HSA-1299287",2,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299308",4,3,3,3,2,0,0,1,1,1,1,1,0,0
"R-HSA-1299316",3,2,2,2,1,1,1,1,1,1,1,1,1,1
"R-HSA-1299344",2,1,1,1,1,1,0,1,1,1,1,1,1,0
"R-HSA-1299361",3,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299503",4,3,3,3,1,1,0,1,1,1,1,1,1,0
"R-HSA-1300642",13,8,9,1,1,1,0,4,4,4,1,1,1,0
"R-HSA-1300645",6,6,6,2,1,1,0,3,3,3,1,1,1,0
"R-HSA-1306955",6,3,4,4,1,2,0,1,1,1,1,1,1,0
"R-HSA-1307965",6,2,3,2,1,0,0,2,2,2,2,2,0,0
"R-HSA-1358803",16,6,7,7,1,6,0,8,8,8,8,2,8,0
