"pathway","Human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","Human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1059683",17,7,7,6,0,0,0,20,18,18,18,0,0,0
"R-HSA-109581",193,142,145,93,58,68,47,142,132,133,119,35,74,20
"R-HSA-109582",804,513,529,222,159,187,48,342,326,331,241,167,172,70
"R-HSA-109606",64,40,41,25,9,12,4,63,55,56,48,12,33,6
"R-HSA-109703",8,1,1,0,0,0,0,2,2,2,0,0,0,0
"R-HSA-109704",58,30,31,19,9,7,3,6,6,6,4,4,4,3
"R-HSA-110056",13,5,5,4,2,2,2,4,3,3,3,3,3,3
"R-HSA-110312",19,12,12,9,10,12,10,5,5,5,5,5,5,5
"R-HSA-110313",48,33,33,17,22,26,19,28,28,28,28,28,28,28
"R-HSA-110314",30,26,26,14,20,21,16,6,6,6,6,6,6,5
"R-HSA-110320",24,14,14,12,12,14,10,8,8,8,8,8,8,8
"R-HSA-110328",41,25,24,3,3,5,4,21,16,16,6,5,7,6
"R-HSA-110329",50,25,24,3,3,5,4,20,15,15,5,5,7,6
"R-HSA-110330",38,21,20,3,2,3,3,10,8,8,5,2,3,3
"R-HSA-110331",44,21,20,3,2,3,3,9,8,8,5,2,3,3
"R-HSA-110357",10,6,6,2,2,4,2,8,8,8,8,8,8,2
"R-HSA-110362",15,8,8,5,4,5,2,10,10,10,10,9,9,8
"R-HSA-110373",32,23,23,10,17,18,14,19,19,19,19,18,18,14
"R-HSA-110381",7,4,4,3,1,3,0,6,6,6,6,2,6,0
"R-HSA-111367",10,8,8,3,8,7,2,2,2,2,2,2,2,2
"R-HSA-111446",5,3,3,1,2,0,1,2,1,1,1,1,0,1
"R-HSA-111447",19,10,11,8,3,3,1,5,3,3,3,2,2,2
"R-HSA-111448",6,4,4,1,1,1,0,5,4,4,3,2,2,0
"R-HSA-111452",2,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-111453",11,3,4,4,1,0,0,5,4,5,5,2,0,0
"R-HSA-111457",8,4,4,3,0,0,0,4,3,3,3,0,0,0
"R-HSA-111458",13,8,8,6,0,5,1,10,10,10,10,0,10,1
"R-HSA-111459",8,5,5,5,0,3,0,2,2,2,2,0,2,0
"R-HSA-111461",15,10,10,8,0,5,1,12,12,12,12,0,12,1
"R-HSA-111463",7,6,6,6,0,3,0,4,4,4,4,0,4,0
"R-HSA-111464",7,6,6,6,0,3,0,3,3,3,3,0,3,0
"R-HSA-111465",38,34,34,16,9,11,5,38,38,38,37,9,11,5
"R-HSA-111469",8,6,6,6,0,3,0,10,10,10,10,0,10,0
"R-HSA-111471",23,14,14,10,1,6,2,28,27,27,25,2,24,3
"R-HSA-111885",113,82,84,37,26,41,7,59,55,55,39,41,46,18
"R-HSA-111931",26,17,16,9,7,13,3,7,7,7,7,6,6,4
"R-HSA-111932",13,10,10,4,3,4,0,13,13,13,6,5,7,0
"R-HSA-111933",43,32,31,13,11,19,3,23,23,23,14,14,16,4
"R-HSA-111957",8,4,4,0,1,1,0,2,2,2,0,2,2,0
"R-HSA-111995",9,2,2,2,0,0,1,3,1,1,1,0,0,1
"R-HSA-111996",48,34,33,15,11,19,4,27,25,25,15,14,16,5
"R-HSA-111997",43,32,31,13,11,19,3,24,24,24,14,14,16,4
"R-HSA-112040",73,51,50,21,17,28,5,41,39,39,27,28,30,8
"R-HSA-112043",67,46,45,17,14,26,5,32,30,30,18,19,21,8
"R-HSA-112122",8,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112126",11,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112303",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112307",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112308",14,11,11,0,5,4,0,1,1,1,0,1,1,0
"R-HSA-112310",100,49,49,23,31,28,5,37,32,32,26,26,27,15
"R-HSA-112311",36,9,9,6,7,5,0,16,15,15,10,8,6,0
"R-HSA-112313",10,4,4,3,2,4,2,3,3,3,2,2,3,2
"R-HSA-112314",232,167,170,62,74,77,14,110,108,108,64,92,92,19
"R-HSA-112315",344,228,231,90,112,111,21,167,159,159,102,129,129,36
"R-HSA-112316",490,352,356,130,138,147,25,221,213,213,143,169,170,46
"R-HSA-112382",60,55,56,33,45,51,37,2,2,2,2,2,2,2
"R-HSA-112399",65,31,32,20,10,8,3,9,9,9,7,7,7,3
"R-HSA-112409",28,16,16,11,4,4,3,12,11,11,11,5,5,10
"R-HSA-112411",12,4,4,3,0,0,1,3,3,3,3,0,0,2
"R-HSA-112412",10,1,1,1,1,1,0,2,2,2,2,2,2,0
"R-HSA-113418",34,31,33,25,28,33,29,3,3,3,3,3,3,3
"R-HSA-113501",15,11,11,3,7,7,5,3,3,3,1,3,3,2
"R-HSA-113507",9,7,7,1,3,6,4,1,1,1,1,1,1,1
"R-HSA-113510",24,18,18,4,10,13,9,4,4,4,2,4,4,3
"R-HSA-114294",2,1,1,1,0,0,0,4,4,4,4,0,0,0
"R-HSA-114452",36,22,23,13,7,6,2,19,13,13,10,8,9,3
"R-HSA-114508",40,25,26,7,11,10,3,9,9,9,5,7,6,3
"R-HSA-114516",10,5,5,2,3,3,2,2,2,2,2,2,2,2
"R-HSA-114604",43,28,28,13,9,9,2,25,25,25,13,18,18,5
"R-HSA-114608",141,106,110,64,40,42,12,11,10,11,10,8,8,5
"R-HSA-1168372",91,65,67,49,42,49,36,15,14,15,12,8,11,7
"R-HSA-1169091",72,55,57,46,38,43,35,10,9,10,8,5,8,5
"R-HSA-1169092",11,2,2,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-1169408",83,51,53,20,20,42,28,16,16,16,16,13,14,7
"R-HSA-1169410",172,103,107,45,44,67,37,71,40,40,30,28,32,14
"R-HSA-1170546",18,11,10,9,4,3,2,14,14,14,14,5,3,3
"R-HSA-1181150",25,11,11,6,2,2,2,12,12,12,10,5,7,2
"R-HSA-1187000",31,16,25,7,3,2,0,9,8,9,3,3,2,0
"R-HSA-1221632",61,26,25,8,8,10,8,6,6,6,6,6,6,6
"R-HSA-1222387",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222449",17,1,1,0,0,1,0,10,3,3,0,0,3,0
"R-HSA-1222499",73,1,1,0,0,1,0,34,3,3,0,0,3,0
"R-HSA-1222538",38,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1222541",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222556",82,32,33,20,17,16,15,45,10,10,4,3,2,2
"R-HSA-1226099",82,43,44,32,22,21,15,99,80,80,74,57,41,1
"R-HSA-1227986",68,30,31,19,12,15,3,46,46,46,43,41,38,12
"R-HSA-1227990",36,16,17,10,5,6,1,62,62,62,54,60,53,25
"R-HSA-1234158",15,6,6,0,1,1,0,7,6,6,0,4,4,0
"R-HSA-1234174",86,66,68,47,41,46,35,20,19,19,13,13,13,9
"R-HSA-1234176",72,58,60,45,40,45,35,12,12,12,12,9,9,9
"R-HSA-1236382",26,10,10,8,5,6,2,23,23,23,23,22,22,22
"R-HSA-1236394",82,36,38,20,13,14,1,52,30,30,25,11,18,2
"R-HSA-1236973",13,6,6,6,2,2,0,3,3,3,3,2,2,0
"R-HSA-1236974",106,71,73,54,44,48,37,10,10,10,10,9,8,8
"R-HSA-1236975",128,85,87,64,50,56,37,23,22,22,22,18,17,9
"R-HSA-1236977",15,8,8,7,2,3,0,4,4,4,4,2,2,0
"R-HSA-1236978",53,46,48,38,35,39,31,6,5,5,5,5,5,1
"R-HSA-1237044",24,12,12,9,0,1,1,8,8,8,6,0,1,1
"R-HSA-1237112",24,6,6,6,5,6,5,7,7,7,7,6,7,6
"R-HSA-1247673",16,8,8,6,0,1,0,6,6,6,5,0,1,0
"R-HSA-1250196",36,12,12,6,3,4,0,6,6,6,6,4,4,0
"R-HSA-1250342",15,8,8,4,1,1,0,2,2,2,2,2,2,0
"R-HSA-1250347",21,8,8,3,1,3,0,4,4,4,4,2,4,0
"R-HSA-1251932",6,2,2,1,1,1,0,2,2,2,1,2,1,0
"R-HSA-1251985",47,18,20,12,5,6,0,34,13,13,8,2,3,0
"R-HSA-1253288",11,5,5,4,2,3,1,5,4,4,4,3,3,2
"R-HSA-1257604",322,204,210,127,96,112,61,88,75,75,41,66,71,31
"R-HSA-1266695",31,20,21,10,6,5,1,26,22,22,14,8,8,1
"R-HSA-1266738",1524,719,771,382,320,323,199,780,590,601,470,438,469,171
"R-HSA-1268020",69,30,32,21,22,28,23,14,13,14,14,13,14,13
"R-HSA-1280215",1100,533,546,256,165,193,107,785,664,696,531,275,259,93
"R-HSA-1280218",933,628,643,285,242,273,129,265,255,256,204,147,159,84
"R-HSA-1295596",19,7,7,5,1,4,2,11,10,10,10,2,7,3
"R-HSA-1296025",6,4,4,0,0,2,0,2,2,2,0,0,2,0
"R-HSA-1296041",31,26,29,13,8,9,1,3,3,3,3,3,3,3
"R-HSA-1296052",10,8,8,1,2,1,0,3,3,3,1,1,1,0
"R-HSA-1296053",5,4,4,3,2,1,0,1,1,1,1,1,1,0
"R-HSA-1296059",31,26,29,13,8,9,1,3,3,3,3,3,3,3
"R-HSA-1296061",6,4,4,0,0,1,0,3,3,3,0,0,3,0
"R-HSA-1296065",38,32,35,15,9,12,1,7,7,7,5,5,6,3
"R-HSA-1296067",4,3,3,1,1,0,0,1,1,1,1,1,0,0
"R-HSA-1296071",107,95,99,26,22,27,2,20,20,20,11,11,14,4
"R-HSA-1296072",44,40,41,5,6,10,0,1,1,1,1,1,1,0
"R-HSA-1296346",13,11,11,5,5,3,1,6,6,6,4,4,3,1
"R-HSA-1299287",2,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299308",4,3,3,1,1,0,0,1,1,1,1,1,0,0
"R-HSA-1299316",3,2,2,0,1,1,1,1,1,1,0,1,1,1
"R-HSA-1299344",2,1,1,1,1,1,0,1,1,1,1,1,1,0
"R-HSA-1299361",3,1,1,0,0,0,0,1,1,1,0,0,0,0
"R-HSA-1299503",4,3,3,2,2,1,0,1,1,1,1,1,1,0
"R-HSA-1300642",13,9,9,1,1,1,0,4,4,4,1,1,1,0
"R-HSA-1300645",6,6,6,0,1,1,0,3,3,3,0,1,1,0
"R-HSA-1306955",6,4,4,2,1,2,0,1,1,1,1,1,1,0
"R-HSA-1307965",6,3,3,1,1,0,0,2,2,2,2,2,0,0
"R-HSA-1358803",16,7,7,5,2,6,1,8,8,8,7,6,8,5
"R-HSA-1362277",25,16,16,6,7,8,2,12,12,12,12,12,12,12
"R-HSA-1362300",20,12,12,5,6,6,1,8,8,8,8,8,8,1
"R-HSA-1362409",25,9,9,5,8,9,8,6,5,5,4,5,5,5
"R-HSA-1368071",5,2,3,1,1,1,1,1,1,1,1,1,1,1
"R-HSA-1368082",26,11,12,5,5,8,1,4,2,1,2,2,2,1
"R-HSA-1368108",43,13,15,7,3,8,1,20,20,20,20,1,20,1
"R-HSA-1369007",10,3,3,2,3,4,1,2,2,2,1,2,2,1
"R-HSA-1369062",29,16,16,6,6,8,5,11,11,11,4,4,6,3
"R-HSA-139853",22,13,14,8,3,2,0,5,5,5,2,4,3,0
"R-HSA-139910",5,3,3,2,2,1,0,2,1,1,1,1,1,0
"R-HSA-139915",10,6,6,2,1,2,0,5,4,4,2,2,4,0
"R-HSA-140179",24,3,3,2,1,1,0,8,7,7,5,2,2,0
"R-HSA-140180",9,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-140342",13,12,12,7,3,3,3,12,12,12,12,6,11,5
"R-HSA-140534",20,9,9,4,0,1,0,9,9,9,7,0,9,0
"R-HSA-140834",6,4,4,2,0,0,0,8,8,8,7,0,0,0
"R-HSA-140837",26,20,21,8,2,4,1,24,24,24,11,5,7,5
"R-HSA-140875",25,17,18,5,1,3,0,29,29,29,22,1,10,0
"R-HSA-140877",43,31,33,12,3,5,1,61,61,61,40,6,17,5
