"pathway","Human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","Human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1059683",17,8,8,7,0,0,0,20,18,18,18,0,0,0
"R-HSA-109581",192,143,143,126,64,73,46,141,133,133,129,66,91,19
"R-HSA-109582",803,514,526,451,152,170,46,334,321,321,308,178,168,93
"R-HSA-109606",64,42,42,36,10,9,3,62,56,56,54,17,24,4
"R-HSA-109703",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-109704",58,29,30,28,10,7,4,6,6,6,6,4,4,4
"R-HSA-110056",13,4,4,4,2,2,2,4,3,3,3,3,3,3
"R-HSA-110312",19,12,11,10,9,11,9,5,5,5,5,5,5,5
"R-HSA-110313",48,33,32,28,21,25,19,28,28,28,28,28,28,27
"R-HSA-110314",30,26,25,23,20,21,17,6,6,6,6,6,6,6
"R-HSA-110320",24,14,13,12,11,13,9,8,8,8,8,8,8,8
"R-HSA-110328",42,24,25,13,4,5,4,21,16,16,13,5,7,6
"R-HSA-110329",51,24,25,13,4,5,4,20,15,15,12,5,7,6
"R-HSA-110330",39,20,21,11,3,3,3,10,8,8,8,2,3,3
"R-HSA-110331",45,20,21,11,3,3,3,9,8,8,8,2,3,3
"R-HSA-110357",10,6,6,5,2,4,2,8,8,8,8,8,8,2
"R-HSA-110362",15,7,8,8,5,5,2,10,10,10,10,9,9,8
"R-HSA-110373",32,22,23,21,17,18,14,19,19,19,19,18,18,14
"R-HSA-110381",7,4,4,4,1,3,0,6,6,6,6,2,6,0
"R-HSA-111367",10,8,8,4,8,8,2,2,2,2,2,2,2,2
"R-HSA-111446",5,3,3,1,1,0,0,2,1,1,1,1,0,0
"R-HSA-111447",19,12,12,10,3,3,1,5,4,4,4,2,2,1
"R-HSA-111448",6,4,4,4,1,1,0,5,4,4,4,2,2,0
"R-HSA-111452",2,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-111453",11,4,4,4,1,0,0,4,4,4,4,2,0,0
"R-HSA-111457",8,4,4,3,0,0,0,4,3,3,3,0,0,0
"R-HSA-111458",13,8,8,8,1,1,0,10,10,10,10,1,1,0
"R-HSA-111459",8,5,5,5,1,2,0,2,2,2,2,1,2,0
"R-HSA-111461",15,10,10,10,2,2,0,12,12,12,12,2,3,0
"R-HSA-111463",7,6,6,6,1,2,0,4,4,4,4,1,4,0
"R-HSA-111464",7,6,6,6,1,2,0,3,3,3,3,1,3,0
"R-HSA-111465",38,34,34,26,13,14,4,38,38,38,38,30,35,4
"R-HSA-111469",8,6,6,6,1,2,0,10,10,10,10,3,10,0
"R-HSA-111471",23,14,14,13,3,3,1,28,27,27,27,7,15,2
"R-HSA-111885",113,84,85,77,27,38,10,59,56,56,52,49,53,21
"R-HSA-111931",26,17,17,16,7,14,3,7,7,7,7,6,6,4
"R-HSA-111932",13,10,10,8,4,5,1,13,13,13,9,11,13,2
"R-HSA-111933",43,32,32,29,11,20,4,23,23,23,19,20,22,6
"R-HSA-111957",8,4,4,2,2,2,0,2,2,2,2,2,2,0
"R-HSA-111995",9,2,2,2,1,0,0,3,1,1,1,1,0,0
"R-HSA-111996",48,34,34,31,12,20,4,27,25,25,20,22,23,6
"R-HSA-111997",43,32,32,29,11,20,4,24,24,24,19,21,23,6
"R-HSA-112040",73,51,51,46,17,26,5,41,39,39,34,36,37,9
"R-HSA-112043",67,46,46,42,15,25,5,32,30,30,25,27,28,9
"R-HSA-112122",8,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112126",11,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112303",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112307",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112308",14,11,11,11,4,4,0,1,1,1,1,1,1,0
"R-HSA-112310",100,49,49,44,33,28,6,37,32,32,30,27,27,16
"R-HSA-112311",34,9,9,7,5,6,0,13,12,12,8,4,5,0
"R-HSA-112313",10,4,4,3,3,2,1,3,3,3,2,2,2,1
"R-HSA-112314",232,159,161,153,67,65,16,109,106,106,98,99,96,24
"R-HSA-112315",343,220,222,207,105,99,23,163,154,154,139,133,131,41
"R-HSA-112316",489,346,350,323,133,127,25,216,207,207,192,171,165,45
"R-HSA-112382",63,56,56,53,46,51,44,2,2,2,2,2,2,2
"R-HSA-112399",65,30,31,28,11,8,5,9,9,9,7,7,7,6
"R-HSA-112409",28,15,15,14,4,4,3,12,11,11,11,10,5,5
"R-HSA-112411",12,3,3,3,1,0,0,3,3,3,3,2,0,0
"R-HSA-112412",10,1,1,0,1,1,1,2,2,2,0,2,2,2
"R-HSA-113418",34,32,32,31,28,32,28,3,3,3,3,3,3,3
"R-HSA-113501",15,11,11,10,7,7,5,3,3,3,3,3,3,2
"R-HSA-113507",9,7,7,7,4,6,4,1,1,1,1,1,1,1
"R-HSA-113510",24,18,18,17,11,13,9,4,4,4,4,4,4,3
"R-HSA-114294",2,1,1,1,0,0,0,4,4,4,4,0,0,0
"R-HSA-114452",36,24,24,20,6,6,2,19,14,14,14,8,9,2
"R-HSA-114508",40,26,26,23,12,9,3,9,9,9,9,7,6,3
"R-HSA-114516",10,5,5,5,1,3,2,2,2,2,2,2,2,2
"R-HSA-114604",43,29,29,20,6,6,2,25,25,25,21,15,15,5
"R-HSA-114608",141,105,110,98,36,48,9,11,11,11,11,10,10,4
"R-HSA-1168372",91,66,66,58,44,50,40,15,14,15,14,8,11,8
"R-HSA-1169091",72,56,56,51,40,44,35,10,9,10,9,5,8,5
"R-HSA-1169092",11,2,2,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-1169408",83,53,53,46,34,37,25,16,16,16,15,13,14,6
"R-HSA-1169410",94,57,58,48,36,39,25,31,21,22,17,15,16,6
"R-HSA-1170546",18,11,11,10,3,3,2,14,14,14,14,3,3,3
"R-HSA-1181150",25,11,11,10,3,3,0,12,12,12,12,5,8,0
"R-HSA-1187000",31,15,25,9,3,1,0,9,8,9,4,3,1,0
"R-HSA-1221632",62,26,27,15,8,9,8,6,6,6,6,6,6,6
"R-HSA-1222387",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222449",17,1,1,1,0,1,0,10,3,3,3,0,3,0
"R-HSA-1222499",73,1,1,1,0,1,0,34,3,3,3,0,3,0
"R-HSA-1222538",38,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1222541",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222556",82,32,33,24,14,15,15,45,10,10,4,2,2,2
"R-HSA-1226099",82,45,45,41,21,20,16,99,80,80,80,46,32,9
"R-HSA-1227986",68,28,27,24,11,12,4,46,45,45,44,39,33,14
"R-HSA-1227990",36,13,13,11,5,5,2,62,62,61,60,60,52,39
"R-HSA-1234158",15,5,6,5,2,1,0,7,6,6,6,6,4,0
"R-HSA-1234174",86,67,67,62,46,48,35,20,19,19,19,15,13,9
"R-HSA-1234176",72,60,59,55,44,47,35,12,12,12,12,9,9,9
"R-HSA-1236382",26,10,8,8,5,5,2,23,23,23,23,22,22,22
"R-HSA-1236394",82,33,33,29,14,11,1,52,29,30,30,9,10,2
"R-HSA-1236973",13,5,6,6,1,2,0,3,3,3,3,2,2,0
"R-HSA-1236974",173,72,75,62,46,51,39,10,10,10,10,9,8,8
"R-HSA-1236975",195,85,89,76,50,55,40,23,22,22,22,18,13,10
"R-HSA-1236977",82,9,11,6,2,2,1,4,4,4,4,2,2,1
"R-HSA-1236978",53,48,48,47,37,38,33,6,5,5,5,5,1,1
"R-HSA-1237044",23,12,12,9,2,1,0,7,7,7,6,2,1,0
"R-HSA-1237112",24,6,6,6,5,5,5,7,7,7,7,6,6,6
"R-HSA-1247673",16,8,8,6,2,1,0,6,6,6,5,2,1,0
"R-HSA-1250196",36,9,8,6,3,3,1,6,6,6,5,4,4,2
"R-HSA-1250342",15,5,5,4,0,0,0,2,2,2,2,0,0,0
"R-HSA-1250347",21,5,4,3,1,2,1,4,4,4,4,2,4,2
"R-HSA-1251932",6,2,2,2,2,1,0,2,2,2,2,2,1,0
"R-HSA-1251985",47,15,17,15,6,5,0,34,12,13,13,2,2,0
"R-HSA-1253288",11,5,4,4,2,2,0,5,4,4,4,3,3,0
"R-HSA-1257604",321,203,205,183,102,107,58,86,75,75,72,65,68,26
"R-HSA-1266695",31,20,20,18,5,5,2,26,22,22,22,6,8,2
"R-HSA-1266738",1263,709,763,591,297,322,187,556,458,465,460,327,361,120
"R-HSA-1268020",69,31,32,40,18,27,22,14,14,14,14,12,14,13
"R-HSA-1280215",1094,473,475,378,160,171,94,710,612,631,589,223,216,79
"R-HSA-1280218",1012,637,651,522,243,277,143,264,252,253,239,144,155,97
"R-HSA-1295596",19,8,7,5,2,3,1,11,10,10,10,3,7,7
"R-HSA-1296025",6,4,4,4,0,0,0,2,2,2,2,0,0,0
"R-HSA-1296041",31,27,28,27,8,6,1,3,3,3,3,3,3,3
"R-HSA-1296052",10,8,8,7,1,1,0,3,3,3,3,1,1,0
"R-HSA-1296053",5,4,4,4,1,1,0,1,1,1,1,1,1,0
"R-HSA-1296059",31,27,28,27,8,6,1,3,3,3,3,3,3,3
"R-HSA-1296061",6,4,4,4,0,1,0,2,2,2,2,0,2,0
"R-HSA-1296065",38,33,34,33,9,7,1,7,7,7,7,5,4,3
"R-HSA-1296067",4,3,3,3,1,0,0,1,1,1,1,1,0,0
"R-HSA-1296071",107,98,100,90,24,22,2,19,19,19,19,12,11,4
"R-HSA-1296072",44,42,43,35,5,10,0,1,1,1,1,1,1,0
"R-HSA-1296346",13,11,11,11,9,3,1,6,6,6,6,5,3,1
"R-HSA-1299287",2,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299308",4,3,3,3,2,0,0,1,1,1,1,1,0,0
"R-HSA-1299316",3,2,2,2,2,1,1,1,1,1,1,1,1,1
"R-HSA-1299344",2,1,1,1,1,1,0,1,1,1,1,1,1,0
"R-HSA-1299361",3,1,1,1,1,1,0,1,1,1,1,1,1,0
"R-HSA-1299503",4,3,3,3,3,0,0,1,1,1,1,1,0,0
"R-HSA-1300642",13,8,9,1,1,1,0,4,4,4,1,1,1,0
"R-HSA-1300645",6,6,6,2,1,0,0,3,3,3,1,1,0,0
"R-HSA-1306955",6,2,2,2,1,1,0,1,1,1,1,1,1,0
"R-HSA-1307965",6,2,3,3,1,0,0,2,2,2,2,2,0,0
"R-HSA-1358803",16,5,4,4,2,4,1,8,8,8,8,6,8,1
"R-HSA-1362277",25,16,16,15,8,9,2,12,12,12,12,12,12,12
"R-HSA-1362300",20,12,12,12,6,6,1,8,8,8,8,8,8,1
"R-HSA-1362409",25,9,9,9,8,9,8,6,5,5,5,5,5,5
"R-HSA-1368071",5,2,3,3,0,1,1,1,1,1,1,0,1,1
"R-HSA-1368082",26,11,12,10,5,8,2,4,2,1,2,2,2,1
"R-HSA-1368108",43,12,14,11,3,7,2,20,4,4,4,1,2,1
"R-HSA-1369007",10,4,4,4,3,4,1,2,2,2,2,2,2,1
"R-HSA-1369062",29,16,16,10,6,10,4,11,11,11,7,4,7,2
"R-HSA-139853",22,14,14,13,4,2,0,5,5,5,5,4,3,0
"R-HSA-139910",5,3,3,3,1,1,1,2,1,1,1,1,1,1
"R-HSA-139915",10,6,6,6,1,2,0,5,4,4,4,2,4,0
"R-HSA-140179",22,3,3,2,1,1,0,6,5,5,4,2,2,0
"R-HSA-140180",9,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-140342",13,12,12,13,4,9,3,12,12,12,12,8,12,5
"R-HSA-140534",20,7,8,6,0,1,0,9,9,9,9,0,9,0
"R-HSA-140834",6,4,4,4,0,0,0,8,8,8,8,0,0,0
"R-HSA-140837",26,19,21,20,4,6,1,24,24,24,24,9,10,5
"R-HSA-140875",25,17,18,13,4,4,0,29,29,29,28,14,11,0
"R-HSA-140877",43,30,33,27,6,7,1,61,61,61,60,23,21,5
"R-HSA-141333",13,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-141334",13,1,1,1,1,1,0,3,2,2,2,2,2,0
"R-HSA-141405",21,17,18,16,14,15,13,3,3,3,3,3,3,3
"R-HSA-141424",94,80,83,74,23,28,17,4,4,4,4,4,4,4
