"interpro_id","family_names","hierarchy_level","family_branch"
"IPR000008","C2 domain",1,1
"IPR014705","Synaptotagmin-17, C2B domain",2,1
"IPR028692","Synaptotagmin-13, C2B domain",2,1
"IPR030537","Synaptotagmin-12, C2B domain",2,1
"IPR033884","Calpain C2 domain",2,1
"IPR037300","Perforin-1, C2 domain",2,1
"IPR037301","Toll-interacting protein, C2 domain",2,1
"IPR037302","Protein Unc-13, C2B domain",2,1
"IPR037303","Synaptotagmin-like protein 4/5, C2A domain",2,1
"IPR037720","Ferlin, second C2 domain",2,1
"IPR037722","Ferlin, third C2 domain",2,1
"IPR037723","Ferlin, fourth C2 domain",2,1
"IPR037724","Ferlin, fifth C2 domain",2,1
"IPR037725","Ferlin, sixth C2 domain",2,1
"IPR037726","Ferlin, first C2 domain",2,1
"IPR037732","Synaptotagmin 7, C2A domain",2,1
"IPR037733","Extended synaptotagmin, C2A domain",2,1
"IPR037741","Synaptotagmin 7, C2B domain",2,1
"IPR037749","Extended synaptotagmin, C2B domain",2,1
"IPR037752","Extended synaptotagmin, C-terminal C2 domain",2,1
"IPR037756","Tricalbin, C2D domain",2,1
"IPR037761","Tricalbin, C2A domain",2,1
"IPR037762","Tricalbin, C2C domain",2,1
"IPR037765","Tricalbin, C2B domain",2,1
"IPR037767","Mug190-like, C2A domain",2,1
"IPR037768","Copine, C2B domain",2,1
"IPR037772","Freud, C2 domain",2,1
"IPR037775","C2CD3, C2 domain",2,1
"IPR037778","Protein kinase C-like, C2 domain",2,1
"IPR037784","Serine/threonine-protein kinase N, C2 domain",2,1
"IPR037785","C2CD5, C2 domain",2,1
"IPR037786","Tandem C2 domains nuclear protein, C2A domain",2,1
"IPR037788","Tandem C2 domains nuclear protein, C2B domain",2,1
"IPR037791","Ingression protein 1, C2 domain",2,1
"IPR037795","E3 ubiquitin-protein ligase HECW, C2 domain",2,1
"IPR041847","Cytosolic phospholipase A2, C2 domain",2,1
"IPR043567","Synaptotagmin-like 1-5, C2B domain",2,1
"IPR044750","SRC2/BAP, C2 domain",2,1
"IPR047022","Rabphilin/Doc2, first C2 domain",2,1
"IPR047255","QUIRKY-like, fourth C2 domain",2,1
"IPR047257","QUIRKY-like, second C2 domain",2,1
"IPR047258","QUIRKY-like, third C2 domain",2,1
"IPR047897","Synaptotagmins 15/17, C2A domain",2,1
"IPR000010","Cystatin domain",1,2
"IPR025760","Fetuin-A-type cystatin domain",2,2
"IPR025764","Fetuin-B-type cystatin domain",2,2
"IPR027358","Kininogen-type cystatin domain",2,2
"IPR000011","Ubiquitin/SUMO-activating enzyme E1-like",1,3
"IPR018075","Ubiquitin-activating enzyme E1",2,3
"IPR000014","PAS domain",1,4
"IPR013655","PAS fold-3",2,4
"IPR013656","PAS fold-4",2,4
"IPR013767","PAS fold",2,4
"IPR000020","Anaphylatoxin/fibulin",1,5
"IPR001840","Anaphylatoxin, complement system domain",2,5
"IPR000025","Melatonin receptor family",1,6
"IPR002278","Melatonin receptor 1A/1B",2,6
